player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_rating
ParhDo00,TE,Donald Parham,LAC,0,0,0,0,0,0,0,0,12,10,130,1,0,0,0,0,0.0
ParkCo02,TE,Colby Parkinson,SEA,0,0,0,0,0,0,0,0,34,25,322,2,0,0,0,0,0.0
ParkDe01,WR,DeVante Parker,NWE,0,0,0,0,0,0,0,0,47,31,539,3,0,0,0,0,0.0
PascZa00,WR,Zach Pascal,PHI,0,0,0,0,0,1,0,0,19,15,150,1,0,0,0,0,0.0
PatmDe00,WR,Dezmon Patmon,IND,0,0,0,0,0,0,0,0,6,2,24,0,0,0,0,0,0.0
PattCo00,RB,Cordarrelle Patterson,ATL,0,0,0,0,0,144,695,8,31,21,122,0,1,0,1,0,0.0
PattJa01,RB,Jaret Patterson,WAS,0,0,0,0,0,17,78,0,1,0,0,0,0,0,0,0,0.0
PennRa00,RB,Rashaad Penny,SEA,0,0,0,0,0,57,346,2,5,4,16,0,0,0,0,0,0.0
PeopDo00,WR,Donovan Peoples-Jones,CLE,0,0,0,0,0,1,2,0,96,61,839,3,1,0,1,0,0.0
PeriSa00,RB,Samaje Perine,CIN,0,0,0,0,0,95,394,2,51,38,287,4,0,0,0,0,0.0
PerkBr02,QB,Bryce Perkins,LAR,19,34,161,1,2,19,90,0,0,0,0,0,0,0,0,0,53.68
PerrBr02,WR,Breshad Perriman,TAM,0,0,0,0,0,2,-7,0,19,9,110,1,1,0,0,0,0.0
PeteNa00,QB,Nathan Peterman,CHI,14,25,139,1,1,2,7,0,0,0,0,0,0,0,0,0,68.58
PettDa00,WR,Dante Pettis,CHI,0,0,0,0,0,2,37,0,41,19,245,3,0,0,0,0,0.0
PhilKy01,WR,Kyle Philips,TEN,0,0,0,0,0,0,0,0,13,8,78,0,2,0,0,0,0.0
PickGe00,WR,George Pickens,PIT,0,0,0,0,0,3,24,1,84,52,801,4,0,1,0,0,0.0
